chemical_name,who_class,who_description,ld50_rat_oral_mgkg,who_class_numeric,chemical_name_clean,who_class_valid,is_carcinogen,is_endocrine_disruptor,is_neurotoxin,is_reproductive_toxin,is_pbt,total_hazard_flags,cid,molecularweight,xlogp,tpsa,complexity,hbonddonorcount,hbondacceptorcount,rotatablebondcount,heavyatomcount,charge,name_length,word_count,has_number,has_hyphen,has_parenthesis,special_chars,log_molecularweight,log_ld50,toxicity_weighted
lindane,II,Moderately hazardous,88.0,2,lindane,II,1.0,1.0,1.0,0.0,1.0,4.0,727.0,290.8,3.8,0.0,104.0,0.0,0.0,0.0,12.0,0.0,7,1,0,0,0,0,5.676068636088686,4.48863636973214,17.95454547892856
aldrin,IA,Extremely hazardous,39.0,0,aldrin,IA,1.0,0.0,0.0,1.0,1.0,3.0,12310947.0,364.9,4.5,0.0,481.0,0.0,0.0,0.0,18.0,0.0,6,1,0,0,0,0,5.902360072025161,3.6888794541139363,11.06663836234181
dieldrin,IA,Extremely hazardous,46.0,0,dieldrin,IA,1.0,0.0,0.0,1.0,1.0,3.0,39552.5,380.9,3.7,12.5,313.0,0.0,1.0,0.0,19.0,0.0,8,1,0,0,0,0,5.94515879423147,3.8501476017100584,11.550442805130174
chlordane,II,Moderately hazardous,283.0,2,chlordane,II,1.0,1.0,0.0,1.0,1.0,4.0,11954021.0,409.8,4.9,0.0,459.0,0.0,0.0,0.0,18.0,0.0,9,1,0,0,0,0,6.018106478054404,5.648974238161206,22.595896952644825
heptachlor,II,Moderately hazardous,147.0,2,heptachlor,II,1.0,1.0,0.0,1.0,1.0,4.0,3589.0,373.3,4.3,0.0,467.0,0.0,0.0,0.0,17.0,0.0,10,1,0,0,0,0,5.925057614910384,4.997212273764115,19.98884909505646
carbofuran,IB,Highly hazardous,8.0,1,carbofuran,IB,0.0,0.0,1.0,1.0,0.0,2.0,2566.0,221.25,2.3,47.6,277.0,1.0,3.0,2.0,16.0,0.0,10,1,0,0,0,0,5.403802874394014,2.1972245773362196,4.394449154672439
carbaryl,II,Moderately hazardous,250.0,2,carbaryl,II,0.0,0.0,0.0,0.0,0.0,0.0,6129.0,201.22,2.4,38.3,230.0,1.0,2.0,2.0,15.0,0.0,8,1,0,0,0,0,5.309356213663253,5.5254529391317835,11.058772120302688
methomyl,IB,Highly hazardous,17.0,1,methomyl,IB,0.0,0.0,1.0,0.0,0.0,1.0,4109.0,162.21,0.6,76.0,147.0,1.0,4.0,3.0,10.0,0.0,8,1,0,0,0,0,5.095037715162604,2.8903717578961645,2.8903717578961645
aldicarb,IA,Extremely hazardous,0.9,0,aldicarb,IA,0.0,0.0,1.0,0.0,0.0,1.0,9570071.0,190.27,1.1,76.0,180.0,1.0,4.0,4.0,12.0,0.0,8,1,0,0,0,0,5.2536860424024425,0.6418538861723948,0.6418538861723948
oxamyl,IB,Highly hazardous,5.0,1,oxamyl,IB,0.0,0.0,0.0,0.0,0.0,0.0,31657.0,219.26,-0.5,96.3,253.0,1.0,5.0,4.0,14.0,0.0,6,1,0,0,0,0,5.394808666736798,1.791759469228055,11.058772120302688
