chemical_name_clean,who_class_valid,molecularweight,xlogp,tpsa,complexity,hbonddonorcount,hbondacceptorcount,rotatablebondcount,heavyatomcount,ld50_rat_oral_mgkg,log_ld50,log_molecularweight,is_carcinogen,is_neurotoxin,is_endocrine_disruptor,is_reproductive_toxin,total_hazard_flags,name_length,word_count,has_number,has_hyphen,special_chars
imidacloprid,II,255.66,1.2,86.3,319.0,1.0,4.0,2.0,17.0,450.0,6.111467339502679,5.5477522518163145,0.0,1.0,0.0,0.0,1.0,12,1,0,0,0
thiamethoxam,II,291.72,1.5,115.0,352.0,0.0,6.0,2.0,18.0,1563.0,7.355001921105257,5.679216520710951,0.0,1.0,0.0,0.0,1.0,12,1,0,0,0
clothianidin,II,249.68,1.3,123.0,313.0,2.0,5.0,4.0,15.0,5000.0,8.517393171418904,5.524177225356475,0.0,1.0,0.0,0.0,1.0,12,1,0,0,0
acetamiprid,II,222.67,1.4,52.3,280.0,0.0,3.0,3.0,15.0,217.0,5.384495062789089,5.410171751322179,0.0,0.0,0.0,0.0,0.0,11,1,0,0,0
thiacloprid,II,252.72,2.2,77.6,324.0,0.0,4.0,2.0,16.0,836.0,6.729824070489475,5.536231296765696,0.0,0.0,0.0,0.0,0.0,11,1,0,0,0
mancozeb,U,541.1,0.5,180.0,108.0,4.0,8.0,6.0,22.0,11200.0,9.32375833901174,6.295450486266293,0.0,0.0,1.0,1.0,2.0,8,1,0,0,0
chlorothalonil,U,265.9,2.9,47.6,284.0,0.0,2.0,0.0,14.0,10000.0,9.210440366976517,5.586874056410478,1.0,0.0,0.0,0.0,1.0,14,1,0,0,0
propiconazole,II,342.2,3.5,49.2,377.0,0.0,4.0,5.0,22.0,1517.0,7.325148957955575,5.838313367613807,1.0,0.0,1.0,0.0,2.0,13,1,0,0,0
tebuconazole,II,307.82,3.7,50.9,326.0,1.0,3.0,6.0,21.0,1700.0,7.438971592395862,5.732758582892719,0.0,0.0,0.0,0.0,0.0,12,1,0,0,0
iprodione,III,330.16,3.1,69.7,448.0,1.0,3.0,2.0,21.0,3500.0,8.160803920954665,5.802601642270605,1.0,0.0,1.0,0.0,2.0,9,1,0,0,0
captan,III,300.6,2.4,62.7,340.0,0.0,3.0,1.0,16.0,9000.0,9.105090961257085,5.709101636133801,0.0,0.0,0.0,0.0,0.0,6,1,0,0,0
