cid,molecularformula,molecularweight,smiles,inchikey,iupacname,xlogp,tpsa,complexity,hbonddonorcount,hbondacceptorcount,rotatablebondcount,heavyatomcount,query_name,charge,xlogp_source
10342051.0,C25H22ClNO3,419.9,CC(C)[C@@H](C1=CC=C(C=C1)Cl)C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,NYPJDWWKZLNGGM-RPWUZVMVSA-N,[(S)-cyano-(3-phenoxyphenyl)methyl] (2S)-2-(4-chlorophenyl)-3-methylbutanoate,6.2,59.3,586.0,0.0,4.0,8.0,30.0,esfenvalerate,,pubchem
,C22H19Cl2NO3,416.3,,KAATUXNTWXVJKI-NSHGMRRFSA-N,"trans-[(S)-cyano-(3-phenoxyphenyl)methyl] (1R,3R)-3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate",6.0,59.3,,0.0,4.0,7.0,28.0,alpha-cypermethrin,0.0,pubchem
47326.0,C22H23NO3,349.4,CC1(C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C,XQUXKZZNEFRCAW-UHFFFAOYSA-N,"[cyano-(3-phenoxyphenyl)methyl] 2,2,3,3-tetramethylcyclopropane-1-carboxylate",5.7,59.3,553.0,0.0,4.0,6.0,26.0,fenpropathrin,,pubchem
12617362.0,C22H19Cl2NO3,416.3,CC1(C(C1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,KAATUXNTWXVJKI-QPIRBTGLSA-N,"[(S)-cyano-(3-phenoxyphenyl)methyl] 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate",6.0,59.3,643.0,0.0,4.0,7.0,28.0,zeta-cypermethrin,,pubchem
3036.0,C14H9Cl5,354.5,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,YVGGHNCTFXOJCH-UHFFFAOYSA-N,"1-chloro-4-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene",6.9,0.0,250.0,0.0,0.0,2.0,19.0,DDT,,pubchem
3224.0,C9H6Cl6O3S,406.9,C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,RDYMFSUJUZBWLH-UHFFFAOYSA-N,"1,9,10,11,12,12-hexachloro-4,6-dioxa-5lambda4-thiatricyclo[7.2.1.02,8]dodec-10-ene 5-oxide",3.8,54.7,470.0,0.0,4.0,0.0,19.0,endosulfan,,pubchem
727.0,C6H6Cl6,290.8,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,"1,2,3,4,5,6-hexachlorocyclohexane",3.8,0.0,104.0,0.0,0.0,0.0,12.0,lindane,,pubchem
12310947.0,C12H8Cl6,364.9,C1[C@@H]2C=C[C@H]1[C@H]3[C@@H]2[C@]4(C(=C([C@@]3(C4(Cl)Cl)Cl)Cl)Cl)Cl,QBYJBZPUGVGKQQ-SJJAEHHWSA-N,"(1S,2S,3S,6R,7R,8R)-1,8,9,10,11,11-hexachlorotetracyclo[6.2.1.13,6.02,7]dodeca-4,9-diene",4.5,0.0,481.0,0.0,0.0,0.0,18.0,aldrin,,pubchem
,C12H8Cl6O,380.9,,DFBKLUNHFCTMDC-PICURKEMSA-N,"(1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene",3.7,12.5,,0.0,1.0,0.0,19.0,dieldrin,0.0,pubchem
11954021.0,C10H6Cl8,409.8,C1C2C(C(C1Cl)Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl,BIWJNBZANLAXMG-YQELWRJZSA-N,"(1R,7S)-1,3,4,7,8,9,10,10-octachlorotricyclo[5.2.1.02,6]dec-8-ene",4.9,0.0,459.0,0.0,0.0,0.0,18.0,chlordane,,pubchem
